NEIGHBORHOOD,BUILDING_CLASS_CATEGORY,TAX_CLASS_AT_PRESENT,BLOCK,LOT,EASEMENT,BUILDING_CLASS_AT_PRESENT,ADDRESS,APARTMENT_NUMBER,ZIP_CODE,RESIDENTIAL_UNITS,COMMERCIAL_UNITS,TOTAL_UNITS,LAND_SQUARE_FEET,GROSS_SQUARE_FEET,YEAR_BUILT,TAX_CLASS_AT_TIME_OF_SALE,BUILDING_CLASS_AT_TIME_OF_SALE,SALE_PRICE,SALE_DATE
GRAVESEND,02 TWO FAMILY DWELLINGS,1,6904,45,,B1,18 BAY 50TH STREET,,11214,2,0,2,"1,933","1,800",1920,1,B1,"1,50,000",23/12/20
GRAVESEND,02 TWO FAMILY DWELLINGS,1,6907,7,,B1,2507 CROPSEY AVENUE,,11214,2,0,2,"2,110","1,980",1960,1,B1,"11,70,000",27/10/20
GRAVESEND,02 TWO FAMILY DWELLINGS,1,6909,5,,B1,2561 CROPSEY AVENUE,,11214,2,0,2,"4,000","2,850",1960,1,B1,"13,80,000",07/07/21
GRAVESEND,02 TWO FAMILY DWELLINGS,1,6910,29,,B3,2610 HARWAY AVE,,11214,2,0,2,"1,919","1,140",1930,1,B3,"9,47,000",23/07/21
GRAVESEND,02 TWO FAMILY DWELLINGS,1,6913,137,,B1,179 27TH AVENUE,,11214,2,0,2,773,"1,734",2011,1,B1,"9,80,000",01/04/21
GRAVESEND,02 TWO FAMILY DWELLINGS,1,6915,66,,B1,191 BAY 47TH STREET,,11214,2,0,2,"1,933","1,920",1945,1,B1,"9,55,000",08/12/20
GRAVESEND,02 TWO FAMILY DWELLINGS,1,6915,84,,B1,147 BAY 47TH STREET,,11214,2,0,2,"1,933","2,232",1930,1,B1,"8,60,000",26/02/21
GRAVESEND,02 TWO FAMILY DWELLINGS,1,6916,107,,B1,2814 HARWAY AVENUE,,11214,2,0,2,"1,411","2,052",1932,1,B1,"9,30,000",08/01/21
GRAVESEND,02 TWO FAMILY DWELLINGS,1,6919,102,,B3,2540 WEST 15TH STREET,,11214,2,0,2,"2,000","1,520",1901,1,B3,"8,50,000",26/02/21
GRAVESEND,02 TWO FAMILY DWELLINGS,1,6919,121,,B1,2571 WEST 16 STREET,,11214,2,0,2,"3,650","4,425",1901,1,B1,"12,80,000",25/08/21
GRAVESEND,02 TWO FAMILY DWELLINGS,1,6924,78,,B1,2552 WEST 16TH STREET,,11214,2,0,2,"2,000","1,680",1930,1,B1,"9,87,000",18/06/21
GRAVESEND,02 TWO FAMILY DWELLINGS,1,6924,91,,B1,205 AVENUE Z,,11214,2,0,2,"2,000","2,588",1930,1,B1,"9,80,000",06/08/21
GRAVESEND,02 TWO FAMILY DWELLINGS,1,6925,77,,B1,1723 SHORE PARKWAY,,11214,2,0,2,"1,863","3,430",1960,1,B1,"14,88,000",03/08/21
GRAVESEND,02 TWO FAMILY DWELLINGS,1,6929,65,,B9,1807 SHORE PARKWAY,,11214,2,0,2,"2,352","3,160",1960,1,B9,"13,30,000",22/12/20
GRAVESEND,02 TWO FAMILY DWELLINGS,1,6930,39,,B1,1825 SHORE PARKWAY,,11214,2,0,2,"1,888","1,920",1955,1,B1,"9,70,000",12/07/21
GRAVESEND,02 TWO FAMILY DWELLINGS,1,6931,56,,B1,1873 SHORE PARKWAY,,11214,2,0,2,"1,892","2,040",1955,1,B1,"9,88,000",27/07/21
GRAVESEND,02 TWO FAMILY DWELLINGS,1,7076,14,,B3,1924 WEST 12TH STREET,,11223,2,0,2,"2,800","1,281",1925,1,B3,"9,20,000",02/11/20
GRAVESEND,02 TWO FAMILY DWELLINGS,1,7076,15,,B3,1928 WEST 12 STREET,,11223,2,0,2,"2,800","1,135",1925,1,B3,"9,50,000",29/10/20
